,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,GPA,Family income source,Class Label,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day
512,15-18 years,male,Native Language,Worker,Home maker,None,primary,Honors/Equivalent ,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,Once,High,3.07,Casual Wage,No,50,55,30,77,83,88,47,350000,Yes,3 hours
513,10-13 years,female,Bangla,Freelancer ,Home maker,Three Children,secondary,primary,0-0.5 km,Rickshaw,Electricity,Toilet,Once,Mediam,2.55,Own business,Yes,62,25,39,64,59,67,41,750000,Yes,2 hours
514,10-13 years,male,Native Language,Unemployed,Home maker,Three Children,secondary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Water,None,Mediam,2.26,Pansion,Yes,37,55,56,26,82,28,33,200000,Yes,1 hours
515,13-15 years,female,Native Language,Agriculture,Home maker,Two Children,Masters/ Equivalent and above,Honors/Equivalent ,0-0.5 km,Bicycle/motorbike,Electricity,Electricity,Once,High,3.47,Farming,No,23,88,81,78,92,42,82,200000,Yes,3 hours
516,10-13 years,female,Native Language,Immigrant,Home maker,Four or more,secondary,secondary,>7 km,School Bus/Bus,Electricity,Water,None,High,2.79,Remittance,No,38,92,85,22,22,90,42,200000,Yes,2 hours
517,10-13 years,female,Bangla,Private sector,Home maker,Two Children,None,secondary,>7 km,Rickshaw,Electricity,Water,None,Low,2.51,Casual Wage,Yes,32,87,86,42,32,43,29,650000,Yes,2 hours
518,13-15 years,female,Native Language,Immigrant,Worker,Four or more,secondary,Honors/Equivalent ,2-3 km,Walk,Electricity,Toilet,None,High,2.79,Remittance,No,29,43,39,91,77,88,24,450000,Yes,2 hours
519,13-15 years,female,Bangla,Worker,Home maker,Two Children,secondary,secondary,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,2.54,Casual Wage,Yes,29,38,89,88,27,38,46,550000,Yes,2 hours
520,15-18 years,female,Native Language,Immigrant,Home maker,None,primary,Honors/Equivalent ,1-2 km,Walk,Electricity,Toilet,Once,Low,2.99,Remittance,No,75,29,54,91,78,62,29,250000,Yes,2 hours
521,10-13 years,female,English,Private sector,Worker,None,secondary,None,>7 km,Private car,Electricity,Toilet,None,Mediam,2.27,Casual Wage,Yes,82,64,27,27,27,58,33,200000,Yes,1 hours
522,15-18 years,others,Native Language,Private sector,Home maker,Three Children,primary,secondary,0.5-1 km,Private car,Electricity,Teaching facilities,Once,Mediam,2.93,Casual Wage,No,74,77,57,42,90,49,21,400000,Yes,2 hours
523,13-15 years,male,Bangla,Public sector,Business,Two Children,primary,Honors/Equivalent ,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,2.57,Formal Wage,Yes,62,58,71,30,40,41,58,600000,Yes,2 hours
524,15-18 years,male,Bangla,Agriculture,Private sector,Two Children,secondary,None,2-3 km,Private car,Other,Teaching facilities,None,Mediam,3.4,Farming,No,67,31,91,46,74,88,79,650000,Yes,3 hours
525,13-15 years,male,Bangla,Worker,Home maker,Two Children,Honors/ Equivalent ,secondary,1-2 km,School Bus/Bus,Other,Water,None,High,3.06,Casual Wage,No,87,68,24,62,35,76,76,300000,Yes,3 hours
526,15-18 years,female,Native Language,Worker,Worker,Three Children,primary,secondary,1-2 km,Bicycle/motorbike,Electricity,Water,None,High,3.16,Casual Wage,No,41,82,72,42,72,66,67,350000,Yes,3 hours
527,10-13 years,female,Native Language,Business,Home maker,Two Children,secondary,primary,6-7 km,School Bus/Bus,Paraffin,Water,None,High,2.13,Own business,Yes,52,70,28,31,38,32,47,200000,Yes,1 hours
528,15-18 years,female,Native Language,Immigrant,Agriculture,Three Children,primary,secondary,6-7 km,Walk,Electricity,Toilet,None,Low,2.54,Remittance,Yes,86,62,32,82,21,21,52,600000,Yes,2 hours
529,13-15 years,male,Bangla,Private sector,Home maker,Four or more,secondary,None,>7 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,2.7,Casual Wage,No,30,87,61,42,81,53,24,750000,Yes,2 hours
530,10-13 years,female,Native Language,Business,Immigrant,Three Children,secondary,None,1-2 km,School Bus/Bus,Other,Toilet,None,Low,2.59,Own business,Yes,43,63,71,68,38,49,30,250000,Yes,2 hours
531,10-13 years,male,Bangla,Public sector,Business,None,Masters/ Equivalent and above,secondary,2-3 km,Rickshaw,Electricity,Teaching facilities,None,Low,2.37,Formal Wage,Yes,69,45,24,41,40,61,52,200000,Yes,1 hours
532,13-15 years,female,Native Language,Freelancer ,Home maker,None,Masters/ Equivalent and above,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Water,None,High,2.59,Own business,Yes,61,77,22,64,54,55,29,600000,Yes,2 hours
533,10-13 years,female,Bangla,Freelancer ,Worker,None,primary,primary,6-7 km,Rickshaw,Electricity,Toilet,None,Low,2.92,Own business,No,63,82,34,24,54,65,87,450000,Yes,2 hours
534,10-13 years,male,Native Language,Unemployed,Home maker,Two Children,primary,None,0-0.5 km,School Bus/Bus,Other,Toilet,None,High,2.71,Pansion,No,23,58,85,32,53,56,73,200000,Yes,2 hours
535,15-18 years,male,Bangla,Agriculture,Home maker,Two Children,primary,secondary,4-5 km,Private car,Electricity,Teaching facilities,None,High,2.76,Farming,No,23,62,20,60,75,69,78,450000,Yes,2 hours
536,10-13 years,male,Native Language,Private sector,Home maker,Four or more,primary,None,0.5-1 km,Walk,Paraffin,Toilet,None,Low,3.19,Casual Wage,No,54,29,91,71,52,69,81,550000,Yes,3 hours
537,13-15 years,female,Native Language,Immigrant,Home maker,Two Children,primary,Honors/Equivalent ,1-2 km,Bicycle/motorbike,Electricity,Toilet,None,Low,2.66,Remittance,No,71,25,50,66,74,27,59,300000,Yes,2 hours
538,13-15 years,female,Native Language,Business,Home maker,Four or more,secondary,Honors/Equivalent ,6-7 km,Private car,Other,Teaching facilities,Once,Low,2.74,Own business,No,90,47,50,69,24,43,61,900000,Yes,2 hours
539,13-15 years,male,Native Language,Freelancer ,Home maker,None,secondary,secondary,2-3 km,Bicycle/motorbike,Electricity,Water,None,High,3.14,Own business,No,59,49,65,85,79,61,42,750000,Yes,3 hours
540,15-18 years,male,Native Language,Public sector,Home maker,Four or more,primary,Honors/Equivalent ,0.5-1 km,Private car,Electricity,Teaching facilities,None,Mediam,2.72,Formal Wage,No,85,53,74,76,36,30,27,250000,Yes,2 hours
541,13-15 years,male,Bangla,Business,Worker,None,Masters/ Equivalent and above,secondary,6-7 km,Bicycle/motorbike,Electricity,Toilet,None,Low,2.28,Own business,Yes,35,52,64,30,44,73,21,150000,No,1 hours
542,13-15 years,female,Native Language,Worker,Business,Four or more,secondary,secondary,4-5 km,Walk,Other,Teaching facilities,None,High,2.78,Casual Wage,No,25,83,70,33,46,89,43,250000,Yes,2 hours
543,15-18 years,male,Native Language,Public sector,Home maker,Two Children,Honors/ Equivalent ,secondary,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,2.81,Formal Wage,No,89,27,40,29,89,78,42,400000,Yes,2 hours
544,10-13 years,female,Native Language,Public sector,Business,Three Children,secondary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,None,High,2.51,Formal Wage,Yes,40,81,31,59,27,67,46,700000,Yes,2 hours
545,10-13 years,female,Native Language,Private sector,Freelancer,Four or more,secondary,primary,4-5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,3.09,Casual Wage,No,59,62,28,54,68,73,89,300000,Yes,3 hours
546,13-15 years,female,Bangla,Private sector,Private sector,Two Children,Honors/ Equivalent ,secondary,0.5-1 km,Walk,Electricity,Toilet,Once,High,3.43,Casual Wage,No,61,36,87,86,63,66,81,850000,Yes,3 hours
547,15-18 years,female,Native Language,Worker,Home maker,Three Children,primary,secondary,2-3 km,Private car,Paraffin,Teaching facilities,Once,Mediam,3.09,Casual Wage,No,49,66,49,21,84,81,83,600000,Yes,3 hours
548,15-18 years,female,Native Language,Agriculture,Home maker,None,secondary,None,1-2 km,Rickshaw,Electricity,Teaching facilities,None,Low,2.85,Farming,No,50,46,78,74,82,23,46,600000,Yes,2 hours
549,13-15 years,male,Bangla,Freelancer ,Home maker,Three Children,secondary,secondary,4-5 km,Walk,Electricity,Toilet,Once,High,2.5,Own business,Yes,29,20,77,46,77,26,75,650000,Yes,2 hours
550,13-15 years,male,Native Language,Private sector,Worker,None,None,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,2.46,Casual Wage,Yes,89,48,47,23,49,44,45,180000,No,1 hours
551,10-13 years,male,Native Language,Agriculture,Immigrant,Two Children,secondary,secondary,0-0.5 km,Private car,Electricity,Teaching facilities,Once,Mediam,2.46,Farming,Yes,42,83,21,32,44,45,78,150000,No,1 hours
552,13-15 years,female,Bangla,Public sector,Home maker,Three Children,Masters/ Equivalent and above,secondary,0-0.5 km,School Bus/Bus,Other,Toilet,None,Mediam,3.14,Formal Wage,No,46,55,78,80,72,57,52,900000,Yes,3 hours
553,10-13 years,female,Bangla,Public sector,Agriculture,Two Children,Masters/ Equivalent and above,secondary,4-5 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,2.88,Formal Wage,No,77,24,92,20,62,89,39,650000,Yes,2 hours
554,13-15 years,female,Bangla,Private sector,Private sector,Two Children,primary,None,6-7 km,Walk,Electricity,Toilet,None,High,2.3,Casual Wage,Yes,34,34,25,64,91,47,27,200000,Yes,1 hours
555,10-13 years,female,Native Language,Unemployed,Home maker,Three Children,None,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,2.94,Pansion,No,35,85,33,79,70,54,55,200000,Yes,2 hours
556,15-18 years,male,Bangla,Worker,Home maker,Two Children,primary,Honors/Equivalent ,0-0.5 km,Walk,Electricity,Water,None,Low,2.6,Casual Wage,No,62,24,61,48,62,36,71,150000,No,2 hours
557,10-13 years,male,Native Language,Agriculture,Freelancer,Four or more,Honors/ Equivalent ,secondary,0.5-1 km,School Bus/Bus,Other,Toilet,None,High,2.42,Farming,Yes,92,35,40,69,36,38,29,100000,No,1 hours
558,13-15 years,female,Native Language,Worker,Home maker,None,primary,None,>7 km,School Bus/Bus,Paraffin,Teaching facilities,None,High,3.19,Casual Wage,No,81,81,57,43,90,25,69,500000,Yes,3 hours
559,10-13 years,male,Native Language,Business,Home maker,Three Children,Masters/ Equivalent and above,secondary,>7 km,School Bus/Bus,Other,Teaching facilities,None,High,2.89,Own business,No,83,73,38,50,62,68,31,250000,Yes,2 hours
560,10-13 years,male,Native Language,Private sector,Business,Two Children,secondary,secondary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,Once,Mediam,2.71,Casual Wage,No,92,24,24,67,92,35,45,250000,Yes,2 hours
561,10-13 years,female,Native Language,Worker,Home maker,Two Children,primary,secondary,1-2 km,Walk,Paraffin,Teaching facilities,None,Low,2.96,Casual Wage,No,47,67,32,83,83,58,44,800000,Yes,2 hours
562,10-13 years,female,Bangla,Business,Freelancer,None,primary,primary,0-0.5 km,Walk,Electricity,Teaching facilities,None,Low,2.74,Own business,No,41,79,51,27,82,44,59,650000,Yes,2 hours
563,13-15 years,male,Native Language,Freelancer ,Worker,None,secondary,primary,4-5 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,Low,2.59,Own business,Yes,40,44,46,80,42,56,55,350000,Yes,2 hours
564,15-18 years,male,Bangla,Worker,Home maker,Three Children,secondary,primary,2-3 km,School Bus/Bus,Electricity,Toilet,Once,Low,2.96,Casual Wage,No,60,27,35,91,50,60,92,300000,Yes,2 hours
565,13-15 years,female,Native Language,Business,Home maker,None,primary,secondary,0.5-1 km,School Bus/Bus,Electricity,Toilet,Once,Mediam,2.66,Own business,No,88,30,48,46,48,61,52,300000,Yes,2 hours
566,10-13 years,male,Native Language,Private sector,Business,Two Children,secondary,primary,1-2 km,Bicycle/motorbike,Other,Teaching facilities,Once,Low,2.29,Casual Wage,Yes,23,44,27,65,46,33,83,150000,No,1 hours
567,10-13 years,male,English,Worker,Home maker,Four or more,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Water,None,Mediam,3.11,Casual Wage,No,89,58,68,88,23,42,67,550000,Yes,3 hours
568,13-15 years,male,Native Language,Public sector,Freelancer,None,Honors/ Equivalent ,secondary,0.5-1 km,Walk,Other,Teaching facilities,Once,Mediam,2.76,Formal Wage,No,73,36,83,32,29,89,44,250000,Yes,2 hours
569,10-13 years,female,Bangla,Unemployed,Home maker,Two Children,Masters/ Equivalent and above,secondary,2-3 km,Bicycle/motorbike,Paraffin,Water,Once,Mediam,2.91,Pansion,No,62,61,77,27,49,90,41,350000,Yes,2 hours
570,13-15 years,male,Native Language,Public sector,Freelancer,Two Children,secondary,None,6-7 km,Walk,Electricity,Water,None,High,2.36,Formal Wage,Yes,34,20,33,84,73,37,49,300000,Yes,1 hours
571,10-13 years,female,Bangla,Worker,Home maker,None,secondary,Honors/Equivalent ,0-0.5 km,School Bus/Bus,Electricity,Water,None,High,3.39,Casual Wage,No,92,40,38,75,89,72,69,600000,Yes,3 hours
572,10-13 years,male,Bangla,Public sector,Home maker,Three Children,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Toilet,Once,Low,3.41,Formal Wage,No,92,53,51,49,79,63,90,250000,Yes,3 hours
573,10-13 years,female,Bangla,Immigrant,Worker,None,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,None,High,2.59,Remittance,Yes,35,23,88,83,82,20,32,750000,Yes,2 hours
574,15-18 years,female,Native Language,Unemployed,Home maker,None,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Water,None,Low,2.31,Pansion,Yes,33,71,24,33,28,71,64,300000,Yes,1 hours
575,10-13 years,male,Bangla,Worker,Home maker,Three Children,primary,Honors/Equivalent ,2-3 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,2.54,Casual Wage,Yes,53,36,39,51,80,22,74,350000,Yes,2 hours
576,13-15 years,male,Native Language,Immigrant,Worker,Two Children,Honors/ Equivalent ,primary,6-7 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,3.14,Remittance,No,76,37,67,68,45,78,68,800000,Yes,3 hours
577,13-15 years,male,Native Language,Public sector,Public sector,Three Children,secondary,secondary,6-7 km,School Bus/Bus,Electricity,Toilet,None,Low,2.56,Formal Wage,Yes,32,71,70,22,42,82,39,500000,Yes,2 hours
578,13-15 years,male,Bangla,Unemployed,Home maker,Three Children,primary,Masters/Equivalent and above,0.5-1 km,Walk,Electricity,Toilet,None,Mediam,2.95,Pansion,No,88,66,48,27,42,52,90,250000,Yes,2 hours
579,13-15 years,female,Native Language,Public sector,Home maker,Two Children,Honors/ Equivalent ,Masters/Equivalent and above,0.5-1 km,Rickshaw,Other,Teaching facilities,None,High,3.19,Formal Wage,No,87,32,58,26,86,91,66,800000,Yes,3 hours
580,13-15 years,female,Native Language,Public sector,Freelancer,None,Honors/ Equivalent ,Honors/Equivalent ,6-7 km,Bicycle/motorbike,Other,Water,None,High,2.51,Formal Wage,Yes,21,33,78,50,45,87,38,550000,Yes,2 hours
581,10-13 years,female,Native Language,Worker,Immigrant,Two Children,Honors/ Equivalent ,primary,0-0.5 km,Private car,Electricity,Teaching facilities,None,High,2.9,Casual Wage,No,90,56,53,64,40,38,65,250000,Yes,2 hours
582,15-18 years,male,Native Language,Agriculture,Freelancer,None,Honors/ Equivalent ,secondary,1-2 km,Rickshaw,Paraffin,Toilet,None,Mediam,3.03,Farming,No,45,32,69,86,40,86,66,650000,Yes,3 hours
583,15-18 years,male,Native Language,Freelancer ,Agriculture,None,secondary,secondary,>7 km,School Bus/Bus,Paraffin,Toilet,None,Mediam,2.67,Own business,No,67,35,62,39,65,73,33,550000,Yes,2 hours
584,13-15 years,male,Bangla,Immigrant,Home maker,Four or more,Honors/ Equivalent ,None,6-7 km,Walk,Electricity,Toilet,None,Low,3.02,Remittance,No,60,62,41,46,45,82,87,350000,Yes,3 hours
585,10-13 years,male,Native Language,Freelancer ,Home maker,None,secondary,secondary,0-0.5 km,School Bus/Bus,Other,Water,None,Low,3.06,Own business,No,46,81,80,43,86,53,39,800000,Yes,3 hours
586,13-15 years,female,Bangla,Immigrant,Home maker,Three Children,primary,secondary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,2.99,Remittance,No,66,60,20,63,78,55,76,300000,Yes,2 hours
587,15-18 years,male,Bangla,Worker,Home maker,Four or more,secondary,Masters/Equivalent and above,1-2 km,School Bus/Bus,Electricity,Toilet,None,Mediam,2.05,Casual Wage,Yes,28,55,34,34,83,27,26,200000,Yes,1 hours
588,15-18 years,female,Bangla,Immigrant,Home maker,Four or more,primary,primary,1-2 km,Walk,Other,Teaching facilities,Once,High,2.66,Remittance,No,75,60,83,49,38,38,30,550000,Yes,2 hours
589,10-13 years,female,Bangla,Worker,Home maker,Two Children,Honors/ Equivalent ,secondary,6-7 km,Walk,Electricity,Teaching facilities,None,High,3.46,Casual Wage,No,78,88,74,48,49,56,91,350000,Yes,3 hours
590,15-18 years,female,Bangla,Agriculture,Home maker,Four or more,Honors/ Equivalent ,secondary,2-3 km,Private car,Electricity,Teaching facilities,None,Mediam,3.23,Farming,No,54,66,43,85,81,31,92,500000,Yes,3 hours
591,15-18 years,others,Bangla,Freelancer ,Home maker,None,secondary,primary,0.5-1 km,Private car,Electricity,Toilet,Once,Low,2.79,Own business,No,80,91,30,59,33,69,29,750000,Yes,2 hours
592,15-18 years,male,Native Language,Worker,Home maker,None,primary,secondary,4-5 km,Rickshaw,Electricity,Toilet,Once,Low,3.2,Casual Wage,No,64,39,78,63,80,57,67,650000,Yes,3 hours
593,10-13 years,female,Native Language,Immigrant,Home maker,Two Children,Honors/ Equivalent ,secondary,4-5 km,Rickshaw,Electricity,Water,None,Mediam,2.99,Remittance,No,70,36,82,33,51,76,71,500000,Yes,2 hours
594,15-18 years,female,Bangla,Worker,Agriculture,Four or more,primary,None,0.5-1 km,School Bus/Bus,Electricity,Toilet,Once,High,2.76,Casual Wage,No,48,62,77,32,23,70,75,750000,Yes,2 hours
595,10-13 years,female,Native Language,Immigrant,Business,Two Children,primary,Honors/Equivalent ,6-7 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,3.29,Remittance,No,64,83,86,86,30,86,25,650000,Yes,3 hours
596,13-15 years,female,Native Language,Private sector,Home maker,Three Children,Honors/ Equivalent ,Honors/Equivalent ,6-7 km,Bicycle/motorbike,Electricity,Water,None,Mediam,3.19,Casual Wage,No,22,89,80,48,90,57,61,150000,No,3 hours
597,10-13 years,female,Native Language,Business,Home maker,Three Children,primary,secondary,0.5-1 km,Walk,Electricity,Water,None,Low,2.91,Own business,No,32,49,64,37,78,73,75,250000,Yes,2 hours
598,15-18 years,female,Bangla,Private sector,Home maker,Two Children,primary,primary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,None,High,3.16,Casual Wage,No,66,32,21,77,80,85,81,750000,Yes,3 hours
599,13-15 years,male,Native Language,Private sector,Home maker,Two Children,secondary,secondary,4-5 km,School Bus/Bus,Electricity,Water,Once,Low,2.89,Casual Wage,No,38,62,34,89,53,84,44,300000,Yes,2 hours
600,13-15 years,male,Native Language,Worker,Agriculture,Two Children,primary,primary,0.5-1 km,Private car,Electricity,Toilet,Once,Mediam,2.75,Casual Wage,No,29,55,66,57,65,56,57,300000,Yes,2 hours
601,13-15 years,female,Native Language,Immigrant,Home maker,Three Children,secondary,primary,>7 km,Rickshaw,Electricity,Toilet,None,Mediam,2.99,Remittance,No,49,32,66,39,91,89,52,400000,Yes,2 hours
602,10-13 years,female,English,Private sector,Freelancer,Three Children,None,None,1-2 km,Walk,Other,Water,Once,Low,3.16,Casual Wage,No,83,41,88,46,42,58,85,500000,Yes,3 hours
603,10-13 years,male,Bangla,Private sector,Home maker,Three Children,primary,primary,4-5 km,Rickshaw,Electricity,Teaching facilities,Once,High,2.48,Casual Wage,Yes,25,47,41,48,59,53,74,200000,Yes,1 hours
604,13-15 years,female,Bangla,Freelancer ,Home maker,Four or more,Honors/ Equivalent ,secondary,2-3 km,Walk,Electricity,Toilet,None,Mediam,2.59,Own business,Yes,53,43,29,21,89,64,64,900000,Yes,2 hours
605,10-13 years,male,Bangla,Freelancer ,Home maker,None,secondary,secondary,0-0.5 km,Private car,Other,Teaching facilities,Once,Low,2.83,Own business,No,71,40,69,89,26,62,39,400000,Yes,2 hours
606,13-15 years,male,Bangla,Business,Freelancer,None,secondary,primary,2-3 km,Walk,Electricity,Toilet,None,High,2.19,Own business,Yes,57,25,23,20,80,27,74,100000,No,1 hours
607,15-18 years,male,English,Private sector,Business,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Electricity,None,High,2.32,Casual Wage,Yes,84,56,37,25,54,46,23,150000,No,1 hours
608,13-15 years,male,Bangla,Immigrant,Home maker,None,Honors/ Equivalent ,primary,0.5-1 km,School Bus/Bus,Paraffin,Teaching facilities,None,High,3.25,Remittance,No,91,23,75,65,69,56,76,550000,Yes,3 hours
609,10-13 years,female,Bangla,Agriculture,Home maker,Four or more,secondary,secondary,2-3 km,Walk,Electricity,Toilet,None,High,3.11,Farming,No,40,63,63,67,90,59,53,550000,Yes,3 hours
610,13-15 years,male,Bangla,Worker,Public sector,Two Children,Honors/ Equivalent ,Honors/Equivalent ,0.5-1 km,Rickshaw,Electricity,Toilet,None,High,3.24,Casual Wage,No,87,92,28,37,85,72,52,450000,Yes,3 hours
611,15-18 years,male,Native Language,Private sector,Home maker,Two Children,primary,secondary,1-2 km,Walk,Electricity,Water,None,Mediam,3.12,Casual Wage,No,70,75,28,80,65,32,87,850000,Yes,3 hours
612,15-18 years,male,Native Language,Business,Home maker,None,secondary,primary,0-0.5 km,Walk,Electricity,Toilet,None,High,2.66,Own business,No,25,73,53,81,38,29,74,400000,Yes,2 hours
613,10-13 years,female,Native Language,Worker,Public sector,None,Masters/ Equivalent and above,None,0-0.5 km,Rickshaw,Electricity,Toilet,None,High,2.56,Casual Wage,Yes,44,59,51,26,25,64,89,500000,Yes,2 hours
614,15-18 years,female,Native Language,Immigrant,Home maker,None,secondary,secondary,0.5-1 km,Walk,Electricity,Toilet,None,High,2.96,Remittance,No,24,73,68,54,89,30,77,650000,Yes,2 hours
615,13-15 years,female,Native Language,Immigrant,Home maker,None,primary,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,3.64,Remittance,No,84,74,81,36,73,92,70,250000,Yes,above 3 hours
616,13-15 years,female,Native Language,Private sector,Business,Two Children,primary,Honors/Equivalent ,0.5-1 km,Bicycle/motorbike,Paraffin,Toilet,Once,Mediam,2.2,Casual Wage,Yes,24,57,84,31,42,20,50,200000,Yes,1 hours
617,10-13 years,male,Native Language,Freelancer ,Home maker,Four or more,secondary,primary,0-0.5 km,Private car,Electricity,Toilet,Once,Low,2.38,Own business,Yes,36,22,58,83,31,60,43,180000,No,1 hours
618,13-15 years,female,Native Language,Unemployed,Worker,Three Children,Honors/ Equivalent ,secondary,2-3 km,Private car,Electricity,Toilet,None,High,2.42,Pansion,Yes,67,47,41,79,30,40,35,150000,No,1 hours
619,15-18 years,male,English,Public sector,Agriculture,Three Children,primary,secondary,2-3 km,School Bus/Bus,Electricity,Teaching facilities,None,High,3.3,Formal Wage,No,80,52,70,78,35,64,83,450000,Yes,3 hours
620,13-15 years,female,Native Language,Private sector,Home maker,Two Children,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,None,Mediam,2.08,Casual Wage,Yes,47,24,49,65,28,24,54,100000,No,1 hours
621,10-13 years,male,Bangla,Business,Home maker,None,Masters/ Equivalent and above,None,6-7 km,School Bus/Bus,Electricity,Teaching facilities,Once,Mediam,3.21,Own business,No,50,54,68,31,80,83,83,650000,Yes,3 hours
622,15-18 years,female,Bangla,Agriculture,Home maker,Two Children,primary,primary,6-7 km,School Bus/Bus,Electricity,Water,None,High,2.79,Farming,No,84,69,58,78,62,20,20,500000,Yes,2 hours
623,15-18 years,male,Native Language,Business,Home maker,Four or more,None,secondary,4-5 km,Bicycle/motorbike,Electricity,Toilet,Once,High,3.31,Own business,No,65,92,74,79,31,40,82,500000,Yes,3 hours
624,10-13 years,female,Bangla,Agriculture,Home maker,Four or more,secondary,secondary,4-5 km,Walk,Paraffin,Teaching facilities,None,High,2.26,Farming,Yes,27,68,63,24,62,22,51,180000,No,1 hours
625,10-13 years,male,Native Language,Private sector,Home maker,Four or more,primary,primary,2-3 km,Rickshaw,Electricity,Water,None,Mediam,2.96,Casual Wage,No,45,86,45,69,55,24,91,650000,Yes,2 hours
626,13-15 years,female,Native Language,Worker,Agriculture,Two Children,secondary,secondary,0-0.5 km,Walk,Electricity,Toilet,None,High,3.36,Casual Wage,No,82,76,80,80,65,23,64,250000,Yes,3 hours
627,15-18 years,female,Native Language,Agriculture,Home maker,Three Children,Honors/ Equivalent ,secondary,2-3 km,Private car,Electricity,Toilet,Once,Mediam,2.17,Farming,Yes,27,35,91,34,59,32,26,180000,No,1 hours
628,13-15 years,male,Bangla,Private sector,Agriculture,None,primary,secondary,6-7 km,Walk,Electricity,Toilet,None,Low,3.09,Casual Wage,No,73,68,32,57,86,27,90,850000,Yes,3 hours
629,15-18 years,female,Bangla,Public sector,Worker,Two Children,primary,None,>7 km,Rickshaw,Electricity,Toilet,None,Mediam,3.51,Formal Wage,No,82,63,82,89,53,85,38,100000,No,above 3 hours
630,10-13 years,female,Native Language,Business,Worker,Three Children,Honors/ Equivalent ,primary,4-5 km,Bicycle/motorbike,Other,Teaching facilities,Once,High,2.2,Own business,Yes,29,38,33,33,28,90,57,100000,No,1 hours
631,10-13 years,female,Native Language,Private sector,Home maker,Two Children,secondary,primary,0.5-1 km,Rickshaw,Electricity,Toilet,None,Low,2.8,Casual Wage,No,54,35,83,86,55,29,50,150000,No,2 hours
632,13-15 years,female,Native Language,Worker,Business,Two Children,Honors/ Equivalent ,secondary,1-2 km,Walk,Electricity,Toilet,None,Mediam,3.19,Casual Wage,No,81,43,61,79,33,74,76,800000,Yes,3 hours
633,10-13 years,male,Bangla,Private sector,Home maker,Two Children,Masters/ Equivalent and above,secondary,4-5 km,School Bus/Bus,Other,Toilet,Once,High,2.71,Casual Wage,No,68,65,40,48,39,53,66,450000,Yes,2 hours
634,10-13 years,female,Native Language,Agriculture,Home maker,Two Children,secondary,None,4-5 km,Walk,Electricity,Water,None,Low,3.14,Farming,No,40,58,91,86,50,33,81,200000,Yes,3 hours
635,13-15 years,female,Native Language,Public sector,Home maker,None,primary,secondary,0-0.5 km,School Bus/Bus,Other,Toilet,None,Low,2.69,Formal Wage,No,91,58,70,38,36,46,38,400000,Yes,2 hours
636,13-15 years,female,Native Language,Immigrant,Agriculture,Two Children,Masters/ Equivalent and above,primary,4-5 km,Bicycle/motorbike,Electricity,Water,None,Mediam,3.19,Remittance,No,34,84,70,78,26,77,77,800000,Yes,3 hours
637,13-15 years,female,Native Language,Agriculture,Home maker,Two Children,secondary,secondary,2-3 km,Walk,Other,Toilet,None,Low,2.61,Farming,No,47,48,34,82,26,60,68,300000,Yes,2 hours
638,13-15 years,male,Bangla,Immigrant,Home maker,Two Children,primary,None,0-0.5 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,Mediam,3.91,Remittance,No,76,42,87,91,83,77,91,650000,Yes,above 3 hours
639,13-15 years,female,Bangla,Worker,Home maker,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,Walk,Electricity,Toilet,Once,Mediam,3.1,Casual Wage,No,64,22,77,73,63,82,53,350000,Yes,3 hours
